hero0,hero1,hero2,hero3,hero4,hero5,hero6,hero7,hero8,hero9,radiant_win
62,14,106,28,11,10,85,112,2,48,True
27,129,48,9,36,8,62,1,126,120,True
14,105,1,88,22,89,87,129,39,59,False
30,22,35,26,96,58,120,7,21,11,True
52,54,123,81,25,107,26,8,96,6,False
120,9,33,74,11,71,16,32,2,22,False
35,6,17,84,67,120,1,27,74,36,True
39,87,64,96,41,34,27,26,81,8,False
135,63,72,2,73,40,86,35,103,47,True
35,1,13,47,7,79,82,48,8,57,False
26,65,86,112,29,48,77,36,34,78,True
35,5,54,2,31,67,45,68,27,28,True
8,30,20,129,17,109,48,14,25,5,True
62,26,105,34,8,95,54,73,27,53,True
74,26,6,14,53,46,89,119,43,21,False
14,56,100,35,30,95,84,48,7,6,False
95,11,111,19,62,91,27,43,129,121,True
104,88,81,26,106,23,14,56,112,109,True
52,44,129,18,39,99,14,35,16,11,False
2,16,86,12,112,75,74,55,68,41,True
70,27,25,51,14,5,8,54,97,23,True
100,121,97,67,49,73,41,47,87,123,True
129,30,59,11,6,95,101,121,48,38,False
123,6,74,58,88,83,27,41,34,99,False
78,39,119,50,47,9,6,48,14,99,False
43,105,101,48,19,52,129,39,30,93,False
25,114,123,21,1,9,103,32,11,48,True
119,48,2,13,86,16,14,50,12,30,False
62,101,44,105,7,81,74,64,75,112,False
63,88,33,28,50,44,5,6,59,107,True
83,1,99,11,86,107,48,6,110,29,False
30,47,2,74,9,108,17,6,19,121,False
89,35,129,26,4,22,105,83,99,29,True
20,34,40,99,44,15,30,14,53,35,True
59,25,12,74,90,49,84,113,97,54,False
43,28,14,52,9,56,73,47,49,99,False
104,84,5,112,129,14,35,114,43,26,True
62,84,76,71,14,50,8,54,119,48,False
48,108,22,121,107,112,64,4,74,49,False
25,67,13,69,112,11,57,40,111,8,False
8,120,74,35,68,46,70,55,81,101,False
27,8,75,14,20,29,46,33,6,37,True
68,104,18,75,35,70,85,112,33,8,False
21,57,44,94,86,41,26,112,22,1,True
22,101,84,35,86,6,74,5,44,3,False
53,81,46,6,104,35,65,99,14,41,True
104,27,14,90,129,81,11,101,5,58,False
123,11,121,63,94,41,91,53,126,34,True
63,106,14,12,104,43,30,48,34,49,True
81,35,112,85,83,59,70,84,73,34,True
58,23,87,47,14,22,10,74,35,11,False
86,2,27,71,67,34,121,26,98,8,True
54,96,59,22,111,26,41,74,27,2,False
100,104,35,17,61,76,91,22,18,45,False
51,41,34,39,31,85,10,35,16,25,False
35,2,38,44,49,101,43,1,30,14,True
135,59,63,8,68,67,36,128,84,22,False
6,71,27,84,12,75,14,35,107,49,True
10,14,47,9,26,69,74,128,31,67,True
14,63,76,43,105,25,114,74,47,62,False
3,119,10,2,4,114,87,27,56,99,True
54,74,99,13,84,88,4,30,67,49,False
95,88,6,102,64,109,75,59,105,15,False
22,62,14,109,46,74,30,35,36,76,True
65,112,63,119,106,12,14,111,57,21,False
43,52,48,85,28,86,129,17,106,97,True
126,121,44,96,9,47,71,73,128,42,True
21,51,84,121,48,42,14,75,78,50,True
93,26,6,99,36,74,27,18,83,87,True
25,20,106,104,19,97,84,44,121,86,True
83,114,70,91,6,111,112,41,99,74,False
100,21,74,121,14,88,27,129,97,6,False
94,23,105,11,90,46,119,25,49,14,False
135,22,102,3,104,128,86,72,50,56,False
41,16,74,20,121,17,6,123,120,33,True
31,67,73,90,62,11,15,5,49,36,False
50,94,9,15,99,6,25,12,26,14,True
90,106,57,112,98,25,86,29,11,48,True
83,2,62,42,34,84,71,109,119,47,True
6,79,46,16,77,26,23,21,51,93,False
93,27,87,46,48,35,105,86,2,1,True
128,39,13,83,8,11,108,32,44,121,False
82,91,88,109,135,105,93,30,126,97,True
42,9,34,28,68,87,106,44,121,103,False
88,46,12,81,72,47,135,84,71,7,True
110,54,8,76,106,35,38,93,25,52,False
9,129,54,1,21,112,44,59,28,88,True
120,48,11,27,56,100,93,35,101,41,True
48,79,1,97,56,32,47,25,5,70,False
26,2,10,74,37,34,14,47,30,54,True
26,129,10,105,32,29,14,21,49,62,False
6,2,70,5,75,87,16,89,109,84,True
86,9,106,23,32,27,104,52,30,98,True
27,85,23,35,113,101,25,93,30,88,False
46,82,35,7,105,4,27,44,21,93,False
123,5,106,2,48,30,1,40,107,99,False
109,81,7,112,93,15,105,36,110,2,False
14,42,86,111,99,31,48,135,123,74,False
50,71,8,6,68,10,54,63,86,59,True
25,84,9,95,22,64,29,41,28,35,True
106,63,53,40,5,33,54,29,23,135,False
59,104,14,112,21,48,68,6,45,86,False
91,14,11,84,51,45,86,10,73,9,False
88,114,34,93,30,32,10,104,25,35,True
49,25,112,41,14,64,72,111,46,59,False
21,87,11,59,57,31,98,85,53,18,False
82,120,27,35,42,41,36,100,32,10,True
96,95,69,26,112,14,37,74,70,119,False
84,4,71,110,22,28,17,27,121,93,False
1,27,69,121,21,106,29,105,26,70,False
48,70,29,90,9,30,40,4,68,35,True
27,119,16,126,8,113,71,54,105,19,True
102,48,17,87,14,84,62,119,11,8,True
84,126,119,109,41,29,104,36,99,14,False
27,23,99,42,83,77,128,82,19,50,True
67,20,74,26,129,35,101,54,33,22,False
26,2,93,11,105,13,104,42,36,27,False
55,97,20,18,93,40,19,123,72,100,True
49,59,50,9,14,92,3,78,35,86,True
32,6,58,2,41,27,48,123,70,126,True
8,6,101,28,61,112,94,22,105,83,True
123,26,36,9,10,113,21,112,14,104,True
49,32,123,84,106,72,9,17,8,121,True
11,63,50,83,33,23,109,2,64,14,True
58,35,11,108,22,99,36,90,12,70,True
84,34,36,114,14,93,3,104,96,112,True
62,25,61,76,26,44,56,33,40,6,True
26,19,4,53,94,7,22,41,21,13,False
17,14,67,59,50,36,93,99,27,26,False
74,114,41,20,99,107,71,46,76,50,True
9,110,74,41,68,47,7,11,87,48,True
41,84,47,59,99,86,11,35,53,14,True
111,18,25,99,14,68,55,44,87,8,True
121,41,2,100,113,48,20,135,9,13,False
48,121,28,123,34,1,26,29,14,9,True
29,23,30,41,1,101,53,69,109,47,False
17,37,72,67,14,59,104,45,96,35,True
49,9,126,30,8,62,20,54,13,37,True
84,128,105,43,9,94,62,30,28,35,False
91,14,98,68,54,27,7,19,96,48,True
60,114,46,121,123,14,6,91,106,5,False
44,21,14,83,111,31,105,109,11,26,False
135,112,121,95,59,35,53,89,74,87,False
109,1,126,33,48,36,97,14,70,8,False
32,54,99,29,96,85,35,37,83,23,True
7,106,27,8,3,87,23,74,39,15,False
2,90,34,72,37,84,48,104,35,86,True
35,123,86,84,96,8,21,94,22,9,False
93,42,100,10,84,99,26,128,44,71,True
5,14,74,72,129,64,42,31,32,11,False
44,79,123,33,98,23,67,86,56,120,True
44,48,71,35,98,27,84,43,1,56,True
98,34,11,26,19,47,62,39,29,84,False
33,75,28,44,46,45,84,14,70,7,True
2,15,37,88,28,22,5,12,101,96,True
11,6,68,14,36,44,121,74,111,99,True
31,114,30,8,6,20,44,47,37,60,False
11,41,58,55,119,93,44,43,99,4,False
35,101,104,34,67,62,32,5,81,74,False
72,14,99,48,84,10,30,129,86,70,True
71,44,112,99,35,53,22,26,104,128,True
74,48,69,71,30,31,56,135,86,10,True
50,21,48,106,121,94,112,2,55,9,False
83,67,27,31,17,121,85,6,62,22,True
99,47,14,26,39,12,31,35,23,7,True
39,44,5,84,81,50,23,88,74,12,False
14,36,67,39,121,68,99,114,27,13,False
28,108,102,44,8,106,78,129,19,41,True
84,12,71,35,85,6,120,27,14,44,True
50,96,25,17,19,2,84,16,86,12,True
74,86,79,120,94,83,63,44,52,29,False
62,14,106,28,11,10,85,112,2,48,True
27,129,48,9,36,8,62,1,126,120,True
14,105,1,88,22,89,87,129,39,59,False
30,22,35,26,96,58,120,7,21,11,True
52,54,123,81,25,107,26,8,96,6,False
120,9,33,74,11,71,16,32,2,22,False
35,6,17,84,67,120,1,27,74,36,True
39,87,64,96,41,34,27,26,81,8,False
135,63,72,2,73,40,86,35,103,47,True
35,1,13,47,7,79,82,48,8,57,False
26,65,86,112,29,48,77,36,34,78,True
35,5,54,2,31,67,45,68,27,28,True
8,30,20,129,17,109,48,14,25,5,True
62,26,105,34,8,95,54,73,27,53,True
74,26,6,14,53,46,89,119,43,21,False
14,56,100,35,30,95,84,48,7,6,False
95,11,111,19,62,91,27,43,129,121,True
